whole,97
acceptance,23
firm,54
routine,36
company,52
jockey,87
fair,81
in,77
drain,25
monstrous,35
parachute,59
incentive,93
resignation,100
cattle,80
faith,94
football,6
diameter,7
adviser,21
draft,60
presidential,46
general,96
virgin,34
pardon,37
painter,74
rice,70
intention,16
anticipation,14
dictionary,88
cruel,38
goalkeeper,89
license,78
legislature,55
ghost,49
award,18
distinct,72
incapable,40
breathe,10
surgeon,98
art,85
chief,3
role,75
fleet,58
lack,92
space,68
feeling,91
woman,39
look,12
tourist,44
match,42
Koran,56
